StageCode,PointIndex,x,y,PointsInStage,elevation
21,0,-4.579871,54.120479,465,82.0
21,1,-4.579825,54.12037,465,82.0
21,2,-4.579616,54.11983,465,74.0
21,3,-4.57959,54.119721,465,74.0
21,4,-4.57958,54.11966,465,74.0
21,5,-4.579578,54.119541,465,74.0
21,6,-4.5796,54.119298,465,74.0
21,7,-4.579607,54.119238,465,74.0
21,8,-4.57961,54.119211,465,74.0
21,9,-4.579653,54.119065,465,69.0
21,10,-4.579746,54.118877,465,69.0
21,11,-4.579834,54.118667,465,69.0
21,12,-4.579894,54.118474,465,69.0
21,13,-4.579963,54.118337,465,69.0
21,14,-4.580052,54.118205,465,58.0
21,15,-4.580136,54.118136,465,58.0
21,16,-4.580161,54.118116,465,58.0
21,17,-4.58033,54.118005,465,58.0
21,18,-4.580534,54.11787,465,58.0
21,19,-4.580661,54.117771,465,58.0
21,20,-4.580741,54.11768,465,58.0
21,21,-4.580891,54.117529,465,58.0
21,22,-4.581005,54.117383,465,57.0
21,23,-4.58122,54.117119,465,57.0
21,24,-4.581344,54.116847,465,62.0
21,25,-4.581518,54.116094,465,60.0
21,26,-4.581561,54.11542,465,56.0
21,27,-4.581533,54.114648,465,52.0
21,28,-4.581438,54.114092,465,50.0
21,29,-4.581195,54.113567,465,46.0
21,30,-4.580672,54.112815,465,48.0
21,31,-4.580466,54.112614,465,48.0
21,32,-4.580278,54.112683,465,48.0
21,33,-4.580116,54.112737,465,48.0
21,34,-4.580033,54.112761,465,48.0
21,35,-4.579965,54.11277,465,47.0
21,36,-4.579914,54.112777,465,47.0
21,37,-4.579842,54.112781,465,47.0
21,38,-4.579771,54.112778,465,47.0
21,39,-4.579505,54.112754,465,47.0
21,40,-4.579307,54.112742,465,47.0
21,41,-4.579193,54.112733,465,47.0
21,42,-4.578963,54.112717,465,47.0
21,43,-4.578474,54.112687,465,44.0
21,44,-4.578179,54.112661,465,44.0
21,45,-4.577953,54.112643,465,44.0
21,46,-4.577494,54.112583,465,49.0
21,47,-4.577298,54.112556,465,49.0
21,48,-4.577146,54.112522,465,49.0
21,49,-4.577004,54.112486,465,47.0
21,50,-4.576859,54.112458,465,47.0
21,51,-4.576731,54.112444,465,47.0
21,52,-4.57646,54.112418,465,47.0
21,53,-4.575781,54.112367,465,49.0
21,54,-4.575617,54.112359,465,49.0
21,55,-4.575466,54.112362,465,49.0
21,56,-4.575308,54.112373,465,49.0
21,57,-4.575168,54.112393,465,49.0
21,58,-4.575001,54.112428,465,53.0
21,59,-4.57478,54.11249,465,53.0
21,60,-4.574572,54.112548,465,56.0
21,61,-4.574391,54.112581,465,56.0
21,62,-4.574215,54.112621,465,56.0
21,63,-4.573709,54.112724,465,63.0
21,64,-4.573511,54.112773,465,63.0
21,65,-4.573428,54.112796,465,63.0
21,66,-4.573347,54.112828,465,63.0
21,67,-4.573089,54.112962,465,63.0
21,68,-4.57297,54.112999,465,63.0
21,69,-4.572823,54.113041,465,63.0
21,70,-4.571968,54.113244,465,69.0
21,71,-4.571571,54.113403,465,73.0
21,72,-4.571029,54.113729,465,75.0
21,73,-4.570626,54.114024,465,75.0
21,74,-4.570188,54.114404,465,81.0
21,75,-4.569785,54.114795,465,81.0
21,76,-4.569709,54.114868,465,81.0
21,77,-4.569416,54.115128,465,87.0
21,78,-4.569185,54.11535,465,87.0
21,79,-4.568832,54.115863,465,94.0
21,80,-4.568667,54.116162,465,89.0
21,81,-4.568641,54.11621,465,89.0
21,82,-4.568491,54.116388,465,89.0
21,83,-4.568322,54.116526,465,89.0
21,84,-4.567957,54.116691,465,91.0
21,85,-4.567142,54.116902,465,88.0
21,86,-4.566442,54.117161,465,88.0
21,87,-4.565625,54.117464,465,87.0
21,88,-4.564833,54.117779,465,91.0
21,89,-4.563095,54.118457,465,96.0
21,90,-4.561575,54.119039,465,90.0
21,91,-4.560617,54.119395,465,88.0
21,92,-4.5599,54.119668,465,83.0
21,93,-4.559468,54.119853,465,83.0
21,94,-4.559117,54.119988,465,83.0
21,95,-4.558267,54.120314,465,88.0
21,96,-4.555711,54.121279,465,95.0
21,97,-4.554201,54.121854,465,99.0
21,98,-4.553947,54.12195,465,99.0
21,99,-4.553618,54.122055,465,100.0
21,100,-4.553322,54.122138,465,100.0
21,101,-4.553018,54.122223,465,100.0
21,102,-4.552764,54.122284,465,100.0
21,103,-4.552649,54.122312,465,100.0
21,104,-4.552512,54.122338,465,95.0
21,105,-4.552384,54.122361,465,95.0
21,106,-4.551642,54.122477,465,95.0
21,107,-4.551527,54.122495,465,96.0
21,108,-4.551426,54.122513,465,96.0
21,109,-4.551327,54.122542,465,96.0
21,110,-4.551205,54.122584,465,92.0
21,111,-4.551133,54.122623,465,92.0
21,112,-4.551048,54.122683,465,92.0
21,113,-4.550969,54.122738,465,92.0
21,114,-4.550887,54.122771,465,92.0
21,115,-4.550783,54.122799,465,92.0
21,116,-4.55067,54.122827,465,92.0
21,117,-4.550458,54.12288,465,92.0
21,118,-4.550295,54.122918,465,92.0
21,119,-4.55012,54.12295,465,92.0
21,120,-4.549977,54.122967,465,87.0
21,121,-4.549814,54.122985,465,87.0
21,122,-4.549707,54.123002,465,87.0
21,123,-4.549622,54.123019,465,87.0
21,124,-4.549534,54.123042,465,87.0
21,125,-4.549442,54.123077,465,87.0
21,126,-4.549352,54.12312,465,87.0
21,127,-4.549255,54.123174,465,87.0
21,128,-4.549077,54.123262,465,87.0
21,129,-4.548759,54.123402,465,79.0
21,130,-4.548533,54.123499,465,79.0
21,131,-4.548338,54.123609,465,79.0
21,132,-4.548177,54.123732,465,79.0
21,133,-4.548052,54.123881,465,79.0
21,134,-4.547978,54.12397,465,79.0
21,135,-4.547958,54.124051,465,79.0
21,136,-4.547932,54.124148,465,79.0
21,137,-4.547887,54.124408,465,66.0
21,138,-4.547873,54.124453,465,66.0
21,139,-4.547851,54.124496,465,66.0
21,140,-4.547818,54.124532,465,66.0
21,141,-4.547787,54.12456,465,66.0
21,142,-4.547743,54.124595,465,66.0
21,143,-4.547706,54.124615,465,66.0
21,144,-4.547655,54.124632,465,66.0
21,145,-4.547607,54.124646,465,66.0
21,146,-4.54748,54.124672,465,67.0
21,147,-4.547345,54.1247,465,67.0
21,148,-4.547024,54.12476,465,67.0
21,149,-4.546967,54.12477,465,67.0
